Session identifier;38155;0,197708333; 14:31:52;;;;;;;
C;58977;72;13:33:21:0;51.451.371.667;5.485.870.000;10;A;9292;;
135;-98;;;;;;;;;
136;-101;;;;;;;;;
137;-101;;;;;;;;;
138;-100;;;;;;;;;
139;-99;;;;;;;;;
140;-98;;;;;;;;;
141;-99;;;;;;;;;
142;-97;;;;;;;;;
143;-100;;;;;;;;;
144;-100;;;;;;;;;
145;-100;;;;;;;;;
146;-99;;;;;;;;;
147;-102;;;;;;;;;
148;-97;;;;;;;;;
149;-101;;;;;;;;;
150;-99;;;;;;;;;
151;-99;;;;;;;;;
152;-91?^22Ox59?J??0????;;;;;;;;;
C;58977;72;"13:}??4""????????????&0000";40;G;91?2;;;;
Y5f?-Q?7;;;;;;;;;;
"	}5??%??0?:?52/?134";;;;;;;;;;
"1?;<	90`?";;;;;;;;;;
???l.??d;;;;;;;;;;
E;32828;68;13:33:25:0;51.451.793.333;5.486.191.667;7;A;9292;;
130;-93;;;;;;;;;
131;-96;;;;;;;;;
132;-97;;;;;;;;;
133;-96;;;;;;;;;
134;-97;;;;;;;;;
135;-94;;;;;;;;;
136;-95;;;;;;;;;
139;-95;;;;;;;;;
140;-98;;;;;;;;;
141;-92;;;;;;;;;
142;-94;;;;;;;;;
143;-97;;;;;;;;;
144;-95;;;;;;;;;
146;-94;;;;;;;;;
147;-98;;;;;;;;;
148;-96;;;;;;;;;
149;-94;;;;;;;;;
150;-97;;;;;;;;;
151;-96;;;;;;;;;
152;-96;;;;;;;;;
153;-95;;;;;;;;;
154;-97;;;;;;;;;
E;32828;68;13:33:25:0;51.451.793.333;5.486.191.667;7;A;9292;;
155;-95;;;;;;;;;
156;-97;;;;;;;;;
157;-95;;;;;;;;;
158;-98;;;;;;;;;
159;-99;;;;;;;;;
160;-96;;;;;;;;;
164;-95;;;;;;;;;
165;-96;;;;;;;;;
166;-98;;;;;;;;;
167;-98;;;;;;;;;
168;-95;;;;;;;;;
169;-99;;;;;;;;;
170;-100;;;;;;;;;
171;-98;;;;;;;;;
172;-98;;;;;;;;;
173;-102;;;;;;;;;
174;-96;;;;;;;;;
17%;-102M;;;;;;;;;
??/?Q)?>;;;;;;;;;;
F;75450;60;13:33:26:0;51.452.178.333;5.485.840.000;9;A;9292;;
139;-95;;;;;;;;;
140;-96;;;;;;;;;
141;-98;;;;;;;;;
142;-96;;;;;;;;;
143;-96;;;;;;;;;
144;-103;;;;;;;;;
146;-95;;;;;;;;;
147;-97;;;;;;;;;
148;-96;;;;;;;;;
149;-97;;;;;;;;;
